Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Simon Pettifer,Windsurf Men,GBR-15,28.21,26.90,27.55
2,Patrick Van Hoof,Windsurf Men,BEL-87,26.40,24.29,25.34
3,Russell Thompson,Windsurf Men,GBR-53,24.21,24.06,24.13
4,Tim Bate,Windsurf Men,GBR-14,24.14,23.62,23.88
5,Jonny Kirton,Windsurf Men,GBR-52,24.20,22.74,23.47
6,Andrew Twinn,Windsurf Men,GBR-36,23.35,22.39,22.87
7,John Oliver,Windsurf Men,GBR-10,23.52,21.70,22.61
8,Scott Harrison,Windsurf Men,GBR-33,22.82,22.21,22.52
9,Andy Stuart-William,Windsurf Men,GBR-7,22.72,22.21,22.46
10,Jean-Marc De Bruyne,Windsurf Men,BEL-22,22.29,21.55,21.92
11,Matthew Lilley,Windsurf Men,GBR-20,21.49,20.82,21.15
12,Joe Trunkfield,Windsurf Men,GBR-46,21.14,20.97,21.05
13,Trevor Whatford,Windsurf Men,GBR-25,21.30,20.64,20.97
14,Joshua Pinder,Windsurf Men,GBR-58,20.58,20.57,20.57
15,Peter Crosby,Windsurf Men,GBR-11,19.64,18.94,19.29
16,Michael George,Windsurf Men,GBR-2,24.25,,12.12
17,Rob Longstaff,Windsurf Men,GBR-59,10.11,,5.06
