Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Windsurf Men,GBR-81,29.41,29.37,29.39
2,Patrick Van Hoof,Windsurf Men,BEL-87,28.15,28.05,28.10
3,Simon Pettifer,Windsurf Men,GBR-15,28.41,26.85,27.63
4,Michael George,Windsurf Men,GBR-2,27.62,27.25,27.43
5,Scott Harrison,Windsurf Men,GBR-33,25.31,24.71,25.01
6,Jonny Kirton,Windsurf Men,GBR-52,24.82,24.27,24.55
7,George Fulton,Windsurf Men,GBR-17,24.60,24.45,24.52
8,Russell Thompson,Windsurf Men,GBR-53,24.88,23.67,24.28
9,Jean-Marc De Bruyne,Windsurf Men,BEL-22,23.59,23.58,23.59
10,Tim Bate,Windsurf Men,GBR-14,24.39,21.28,22.83
11,Dave Strudwick,Windsurf Men,GBR-50,24.79,20.78,22.78
12,Andrew Twinn,Windsurf Men,GBR-36,22.70,21.90,22.30
13,Joe Trunkfield,Windsurf Men,GBR-46,20.20,20.07,20.14
14,Matthew Lilley,Windsurf Men,GBR-20,22.59,16.55,19.57
15,Rob Longstaff,Windsurf Men,GBR-59,20.93,17.67,19.30
16,Peter Crosby,Windsurf Men,GBR-11,19.29,16.80,18.05
17,Andrew Owen,Windsurf Men,GBR-32,22.28,,11.14
18,Stuart Trunkfield,Windsurf Men,GBR-43,21.44,,10.72
19,Andy Stuart-William,Windsurf Men,GBR-7,21.42,,10.71
